speciesID,matched_taxonID,acceptedNameUsageID,taxonName,domain,kingdom,phylum,class,subclass,superorder,order,sub-order,infraorder,section,subsection,superfamily,family,subfamily,tribe,genus,subgenus,genericName,specificEpithet,infraspecificEpithet,taxonRank,taxonomicStatus,parentNameUsageID
A-Arth-Hexa-Coleoptera-000242,,,Dercetina abdominalis,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Galerucinae,"",Dercetina,"","",abdominalis,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000243,,,Dercetina frontalis,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Galerucinae,"",Dercetina,"","",frontalis,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000244,,,Elytropachys quadripustulata,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Galerucinae,"",Elytropachys,"","",quadripustulata,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000245,,,Emathea aeneipennis,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Galerucinae,"",Emathea,"","",aeneipennis,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000246,,,Galerosastra sumatrana,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Galerucinae,"",Galerosastra,"","",sumatrana,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000247,,,Aplosonyx albicornis,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Galerucinae,"",Aplosonyx,"","",albicornis,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000248,,,Aplosonyx nigricollis,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Galerucinae,"",Aplosonyx,"","",nigricollis,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000249,,,Aplosonyx quadripustulatus,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Galerucinae,"",Aplosonyx,"","",quadripustulatus,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000250,,,Aplosonyx shelfordi,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Galerucinae,"",Aplosonyx,"","",shelfordi,"",BOSuncornirmedSpecies,BOSunformired,
A-Arth-Hexa-Coleoptera-000251,,,Aplosonyx sumatrensis,Eukarya,Animalia,Arthropoda,Insecta,"","",Coleoptera,Polyphaga,"","","",Chrysomeloidea,Chrysomelidae,Galerucinae,"",Aplosonyx,"","",sumatrensis,"",BOSuncornirmedSpecies,BOSunformired,
