speciesId,matched_taxonID,acceptedNameUsageID,taxonName,domain,kingdom,phylum,class,subclass,superorder,order,sub-order,infraorder,section,subsection,superfamily,family,subfamily,tribe,genus,subgenus,genericName,specificEpithet,infraspecificEpithet
A-Arth-Hexa-Coleoptera-000474,6265078,7739069,<i>Serixia (Serixia) prolata</i>,,,Arthropoda,Insecta,,,Coleoptera,Polyphaga,,,,Chrysomeloidea,Cerambycidae,Lamiinae,,Serixia,Serixia,Serixia,prolata,""
A-Arth-Hexa-Coleoptera-000446,11017166,1154462,<i>Menesia (Menesia) pulchella</i>,,,Arthropoda,Insecta,,,Coleoptera,Polyphaga,,,,Chrysomeloidea,Cerambycidae,Lamiinae,,Menesia,Menesia,Menesia,pulchella,""
A-Arth-Hexa-Orthoptera-000145,5096018,-1,<i>Conocephalus (Anisoptera) longipennis</i>,,,Arthropoda,Insecta,,,Orthoptera,,,,,,Tettigoniidae,Conocephalinae,Conocephalini,Conocephalus,Anisoptera,Conocephalus,longipennis,""
A-Vert-Reptilia-000129,2443521,-1,<i>Cuora amboinensis</i>,,,Chordata,Reptilia,,,Testudines,,,,,,Geoemydidae,,,Cuora,,Cuora,amboinensis,""
A-Arth-Hexa-Coleoptera-000445,1154388,7988709,<i>Menesia (Menesia) palliata</i>,,,Arthropoda,Insecta,,,Coleoptera,Polyphaga,,,,Chrysomeloidea,Cerambycidae,Lamiinae,,Menesia,Menesia,Menesia,palliata,""
A-Arth-Crus-Decapoda-000365,2225583,-1,<i>Thalamita crenata</i>,,,Arthropoda,Malacostraca,,,Decapoda,Pleocyemata,Brachyura,,,Portunoidea,Portunidae,,,Thalamita,,Thalamita,crenata,""
A-Arth-Arac-Aran-000077,5171255,-1,<i>Cyrtophora moluccensis</i>,,,Arthropoda,Arachnida,,,Araneae,,Araneomorphae,,,,Araneidae,,,Cyrtophora,,Cyrtophora,moluccensis,""
A-Arth-Hexa-Lepidoptera-000654,8339023,1774618,<i>Asota plana</i>,,,,Insecta,,,Lepidoptera,,,,,,Erebidae,Aganainae,,Asota,,Asota,plana,""
A-Arth-Hexa-Lepidoptera-000654,7790804,1774618,<i>Asota plana</i>,,,,Insecta,,,Lepidoptera,,,,,,Erebidae,Aganainae,,Asota,,Asota,plana,""
A-Vert-Pisces-000759,5212877,-1,<i>Arapaima gigas</i>,,,Chordata,Actinopterygii,,,Osteoglossiformes,,,,,,Arapaimidae,,,Arapaima,,Arapaima,gigas,""
A-Platyhelminthes-000061,11291957,2503261,<i>Pericelis byerleyana</i>,,,Platyhelminthes,,,,Polycladida,Cotylea,,,,,Pericelidae,,,Pericelis,,Pericelis,byerleyana,""
A-Moll-Gastropoda-000570,5724100,-1,<i>Trochus maculatus</i>,,,Mollusca,Gastropoda,Vetigastropoda,,,,,,,Trochoidea,Trochidae,,,Trochus,,Trochus,maculatus,""
A-Arth-Hexa-Lepidoptera-000670,1961987,-1,<i>Zamarada denticulata</i>,,,,Insecta,,,Lepidoptera,,,,,,Geometridae,Ennominae,,Zamarada,,Zamarada,denticulata,""
A-Arth-Hexa-Lepidoptera-000346,1957368,-1,<i>Eumelea ludovicata</i>,,,,Insecta,,,Lepidoptera,,,,,,Geometridae,Desmobathrinae,,Eumelea,,Eumelea,ludovicata,""
A-Arth-Hexa-Lepidoptera-000684,1977830,-1,<i>Luxiaria submonstrata</i>,,,,Insecta,,,Lepidoptera,,,,,,Geometridae,Ennominae,,Luxiaria,,Luxiaria,submonstrata,""
A-Arth-Hexa-Lepidoptera-000493,6133670,-1,<i>Chiasmia emersaria</i>,,,,Insecta,,,Lepidoptera,,,,,,Geometridae,Ennominae,,Chiasmia,,Chiasmia,emersaria,""
